strategy,pca_dims,tsne_perplexity,algo,k_or_mcs,min_samples,n_clusters_raw,n_clusters,noise_pct,mean_weighted_d,cluster_count_factor,entropy_factor,min_step_entropy,min_agent_entropy,composite_score,passes_verification
tsne3d_hdbscan,20,50,hdbscan,200,25,3,2,26.554157131960338,0.4008501068031077,1.0,0.8986368197436773,0.19564141280825464,0.9379090132368071,0.26456563480317896,False
tsne3d_hdbscan,20,125,hdbscan,100,25,14,10,61.25095347063311,1.8937185367859874,0.4,0.8527552767398894,0.24475746032136664,0.932572845486422,0.25030000465337354,False
tsne3d_hdbscan,20,50,hdbscan,200,5,3,2,11.098398169336384,0.3082074756765306,1.0,0.9006177862827072,0.21131472183513653,0.9386291245163291,0.2467705188502201,False
tsne3d_hdbscan,20,150,hdbscan,100,10,18,10,49.22768878718535,1.3653857833830747,0.4,0.8730973956886068,0.2344452546238253,0.9313825257626749,0.2421056887366212,False
tsne3d_hdbscan,20,100,hdbscan,200,10,11,10,49.513729977116704,1.3436554449537383,0.4,0.8693691588718745,0.21398696872998907,0.9389364949131783,0.23589863227090685,False
tsne3d_hdbscan,20,75,hdbscan,400,10,5,4,54.710144927536234,0.57494310791725,1.0,0.8928861632749036,0.6049106177644834,0.9303469844457116,0.23249943194274558,False
tsne3d_hdbscan,20,50,hdbscan,800,3,5,4,47.091914569031275,0.48288009707504365,1.0,0.9071930409008478,0.8498258432240374,0.925274855893058,0.2317720497546886,False
tsne3d_hdbscan,20,50,hdbscan,400,5,4,3,24.570938215102974,0.31965498389293023,1.0,0.9003762361773567,0.7750382109723721,0.930975369835392,0.21709219511055655,False
tsne3d_hdbscan,20,50,hdbscan,800,5,4,3,24.570938215102974,0.31965498389293023,1.0,0.9003762361773567,0.7750382109723721,0.930975369835392,0.21709219511055655,False
tsne3d_hdbscan,20,100,hdbscan,100,25,3,2,25.333714721586574,0.31961552231473633,1.0,0.8994976522535114,0.20689031040872755,0.9372753663034189,0.2146606511201589,False
tsne3d_hdbscan,20,100,hdbscan,200,25,3,2,25.333714721586574,0.31961552231473633,1.0,0.8994976522535114,0.20689031040872755,0.9372753663034189,0.2146606511201589,False
tsne3d_hdbscan,20,75,hdbscan,50,25,3,2,13.958810068649885,0.27580585636070476,1.0,0.9016003901959835,0.23043163307877515,0.9374309615839986,0.21395575986302962,False
tsne3d_hdbscan,20,75,hdbscan,100,25,3,2,13.958810068649885,0.27580585636070476,1.0,0.9016003901959835,0.23043163307877515,0.9374309615839986,0.21395575986302962,False
tsne3d_hdbscan,20,75,hdbscan,200,25,3,2,13.958810068649885,0.27580585636070476,1.0,0.9016003901959835,0.23043163307877515,0.9374309615839986,0.21395575986302962,False
tsne3d_hdbscan,20,50,hdbscan,400,10,5,4,62.976735316552244,0.5949639233853228,1.0,0.9078613349172686,0.8378361758202939,0.9264680775239015,0.19997921739783847,False
tsne3d_hdbscan,20,75,hdbscan,200,3,3,2,8.972158657513349,0.22750339498380875,1.0,0.9024429242688563,0.23838693620976015,0.9386561652231677,0.18688819517000696,False
tsne3d_hdbscan,20,150,hdbscan,800,10,4,3,64.64530892448512,0.5832063831836389,1.0,0.8937514741964968,0.7296847317907134,0.930108952461659,0.18428334496789012,False
tsne3d_hdbscan,20,125,hdbscan,800,3,4,3,54.614797864225785,0.43582659863895845,1.0,0.9098075560058425,0.8646407383458515,0.9241807271342598,0.17996064673324164,False
tsne3d_hdbscan,20,150,hdbscan,200,25,3,2,29.13806254767353,0.27321769887145975,1.0,0.8986396436893155,0.24675030714310922,0.9370429998974761,0.17398324440767154,False
tsne3d_hdbscan,20,125,hdbscan,200,25,3,2,27.38367658276125,0.2551491365657432,1.0,0.8994737506980697,0.24475746032136664,0.9376353598895713,0.166654426554663,False
tsne3d_hdbscan,20,125,hdbscan,100,10,3,2,22.940503432494282,0.23784070368379923,1.0,0.8984177374591891,0.23419411371335444,0.9377862022825467,0.16466096874509015,False
tsne3d_hdbscan,20,125,hdbscan,200,10,3,2,22.940503432494282,0.23784070368379923,1.0,0.8984177374591891,0.23419411371335444,0.9377862022825467,0.16466096874509015,False
tsne3d_hdbscan,20,75,hdbscan,100,5,3,2,13.22463768115942,0.20678428042010627,1.0,0.9017608430410603,0.2850633637594654,0.9385198855869233,0.16180998951415265,False
tsne3d_hdbscan,20,75,hdbscan,200,5,3,2,13.22463768115942,0.20678428042010627,1.0,0.9017608430410603,0.2850633637594654,0.9385198855869233,0.16180998951415265,False
tsne3d_hdbscan,20,100,hdbscan,200,5,3,2,13.415331807780321,0.19721794468300763,1.0,0.9018467485091524,0.2925911484328023,0.9383142483228297,0.15399980442174077,False
tsne3d_hdbscan,20,125,hdbscan,400,3,3,2,26.763920671243323,0.2079999152822567,1.0,0.9009039265399091,0.5044930583913645,0.9333431313740683,0.13723558068222205,False
tsne3d_hdbscan,20,50,hdbscan,400,25,3,2,62.63348588863463,0.3692524464196991,1.0,0.9041601257742322,0.8118501941090701,0.926288326224239,0.12475309145489442,False
tsne3d_hdbscan,20,50,hdbscan,800,25,3,2,62.63348588863463,0.3692524464196991,1.0,0.9041601257742322,0.8118501941090701,0.926288326224239,0.12475309145489442,False
tsne3d_hdbscan,20,50,hdbscan,100,5,31,11,37.55720823798627,2.0719393952383163,0.1,0.855762869008388,0.21131472183513653,0.9346435838173133,0.11071661479392593,False
tsne3d_hdbscan,20,75,hdbscan,400,5,3,2,39.46414950419527,0.18847194558219266,1.0,0.9069380676578918,0.8605896573882014,0.9302856093246095,0.10347537129757833,False
tsne3d_hdbscan,20,75,hdbscan,800,5,3,2,39.46414950419527,0.18847194558219266,1.0,0.9069380676578918,0.8605896573882014,0.9302856093246095,0.10347537129757833,False
tsne3d_hdbscan,20,75,hdbscan,800,10,3,2,60.64073226544623,0.2769901119489558,1.0,0.9101071572584619,0.8716059233432997,0.9289673566303941,0.09922104700326216,False
tsne3d_hdbscan,20,50,hdbscan,800,10,3,2,59.37261632341724,0.255690644834492,1.0,0.9014334580407046,0.8672236902736141,0.9241901135148083,0.09364128559415412,False
tsne3d_hdbscan,20,100,hdbscan,100,3,24,14,37.10907704042716,1.6582984552275264,0.1,0.8680536229731489,0.23406493401435471,0.9347985842717284,0.09053097934283635,False
tsne3d_hdbscan,20,75,hdbscan,50,10,33,11,47.00610221205187,2.0024552187569737,0.1,0.8478259983366323,0.21398696872998907,0.937376638327014,0.08996952060284856,False
tsne3d_hdbscan,20,125,hdbscan,100,3,23,12,41.96224256292906,1.6364705674317825,0.1,0.868546446222816,0.2132456006555656,0.9437323789624883,0.08249200690953266,False
tsne3d_hdbscan,20,75,hdbscan,100,3,28,13,39.29252479023646,1.5523851903591643,0.1,0.8738431525795161,0.23838693620976015,0.9377661618706604,0.08235218937359448,False
tsne3d_hdbscan,20,50,hdbscan,200,3,13,11,30.434782608695656,1.2763953582591043,0.1,0.8815699170158117,0.2127275731183437,0.925274855893058,0.07827699130851103,False
tsne3d_hdbscan,20,75,hdbscan,100,10,22,14,47.549580472921434,1.7209184586215198,0.1,0.8579039273251045,0.21398696872998907,0.937376638327014,0.0774368922208374,False
tsne3d_hdbscan,20,150,hdbscan,100,3,22,11,48.83676582761251,1.7580917857877065,0.1,0.8582658793443387,0.2375497393865274,0.9385339261586236,0.0772007255238337,False
tsne3d_hdbscan,20,75,hdbscan,400,3,3,2,26.51601830663616,0.11512305749279442,1.0,0.9096344365155751,0.8759897421701274,0.9293372165362934,0.07695235033202422,False
